<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiH9,D,20180215,59488,59555,59488,59555,4,528
SiH9,D,20180216,59107,59129,59104,59104,7,536
SiH9,D,20180219,,,,,,536
SiH9,D,20180220,59500,59500,59354,59354,10,556
SiH9,D,20180221,,,,,,556
SiH9,D,20180222,59275,59403,59275,59403,9,574
SiH9,D,20180226,58875,58989,58466,58497,63,568
SiH9,D,20180227,58473,58567,58163,58567,62,664
SiH9,D,20180228,58622,58890,58622,58890,13,688
SiH9,D,20180301,58820,59251,58820,59251,5,692
SiH9,D,20180302,59140,59751,59140,59751,8,706
SiH9,D,20180305,59275,59565,59167,59277,20,736
SiH9,D,20180306,58772,58781,57500,58746,46,796
SiH9,D,20180307,59078,59275,59000,59005,36,810
SiH9,D,20180309,59039,59143,59039,59143,6,822
SiH9,D,20180312,,,,,,822
SiH9,D,20180313,59262,59262,58960,59054,5,824
SiH9,D,20180314,59054,60061,59054,59271,21,816
SiH9,D,20180315,59265,59633,59265,59505,144,944
SiH9,D,20180316,59590,59660,59590,59600,22,984
SiH9,D,20180319,59760,60080,59760,60080,126,1208
SiH9,D,20180320,59990,60080,59775,59799,113,1274
SiH9,D,20180321,59620,59640,59100,59320,288,1354
SiH9,D,20180322,59240,59251,58780,59098,39,1358
SiH9,D,20180323,59150,59208,59040,59110,47,1408
SiH9,D,20180326,59380,59380,59380,59380,1,1410
SiH9,D,20180327,59111,59430,59111,59430,41,1454
SiH9,D,20180328,,,,,,1454
SiH9,D,20180329,59730,59730,59730,59730,1,1454
SiH9,D,20180330,,,,,,1454
SiH9,D,20180402,59130,59130,58990,58990,210,1834
SiH9,D,20180403,59590,59591,59590,59591,3,1838
SiH9,D,20180404,59680,59680,59680,59680,2,1842
SiH9,D,20180405,59572,59742,59572,59675,32,1844
SiH9,D,20180406,60000,60000,60000,60000,1,1844
SiH9,D,20180409,60600,62600,60550,62600,483,1478
SiH9,D,20180410,62182,66010,62163,64890,1724,3218
SiH9,D,20180411,65375,67360,65137,66350,214,3432
SiH9,D,20180412,65100,65240,64040,64170,228,3040
SiH9,D,20180413,63676,64500,63676,64500,8,3034
SiH9,D,20180416,64546,64701,64220,64664,293,2740
SiH9,D,20180417,64500,64509,63130,63875,2299,2742
SiH9,D,20180418,63750,64050,63390,63390,116,2922
SiH9,D,20180419,63220,63330,63000,63150,33,2904
SiH9,D,20180420,63450,63650,63430,63550,14,2926
SiH9,D,20180423,63570,64240,63570,64050,42,2986
SiH9,D,20180424,64080,64080,63740,63780,6,2986
SiH9,D,20180425,63680,64370,63680,64370,9,2980
SiH9,D,20180426,64940,65170,64920,65000,759,4482
SiH9,D,20180427,64900,64900,64000,64000,36,4482
SiH9,D,20180428,64500,64500,64500,64500,6,4482
SiH9,D,20180430,65040,65210,65040,65210,10,4466
SiH9,D,20180502,65195,66290,65195,66200,77,4602
SiH9,D,20180503,66090,66090,66000,66000,251,5104
SiH9,D,20180504,65500,65500,65130,65130,6,5116
SiH9,D,20180507,64920,64960,64920,64960,14,5092
SiH9,D,20180508,65250,65670,65250,65670,41,5126
SiH9,D,20180510,65520,65520,64110,64190,225,5132
SiH9,D,20180511,63888,64090,63650,63980,117,5094
SiH9,D,20180514,63760,63820,63760,63820,2,5092
SiH9,D,20180515,64238,64800,64230,64800,342,5080
SiH9,D,20180516,64488,64620,64288,64300,12,5080
SiH9,D,20180517,63838,64015,63838,63845,319,5090
SiH9,D,20180518,64288,64600,64288,64500,390,4952
SiH9,D,20180521,64630,65008,64008,64008,129,4948
SiH9,D,20180522,63655,63720,63088,63100,222,4950
SiH9,D,20180523,63460,63776,63300,63300,13,4950
SiH9,D,20180524,63340,63550,63290,63540,5,4942
SiH9,D,20180525,63540,64001,63440,63951,27,4948
SiH9,D,20180528,64160,64288,64160,64275,215,5352
SiH9,D,20180529,64488,64700,64488,64600,3058,11448
SiH9,D,20180530,64670,64725,64088,64088,813,11464
SiH9,D,20180531,63860,64120,63860,64090,10,11444
SiH9,D,20180601,64240,64388,63920,63920,29,11448
SiH9,D,20180604,63800,63810,63788,63810,16,11464
SiH9,D,20180605,63688,63988,63688,63988,15,11464
SiH9,D,20180606,63688,63688,63688,63688,5,11464
SiH9,D,20180607,63640,63990,63540,63990,18,11464
SiH9,D,20180608,64188,64538,64138,64138,34,11474
SiH9,D,20180609,,,,,,11474
SiH9,D,20180611,64338,64338,64320,64320,8,11470
SiH9,D,20180613,64538,64938,64181,64181,82,11590
SiH9,D,20180614,64388,64388,63788,64008,53,11626
SiH9,D,20180615,64020,65000,64020,64997,60,11658
SiH9,D,20180618,65137,65607,65100,65349,1914,14510
SiH9,D,20180619,65681,66030,65660,65660,1482,16928
SiH9,D,20180620,65590,65680,65400,65400,65,16980
SiH9,D,20180621,65638,65660,65310,65560,781,17122
SiH9,D,20180622,65555,65600,64688,64820,229,16984
SiH9,D,20180625,64580,64742,64419,64680,281,17282
SiH9,D,20180626,64908,65038,64888,64888,32,17302
SiH9,D,20180627,64788,65020,64688,64688,1554,15280
SiH9,D,20180628,64838,65088,64688,64700,17,15280
SiH9,D,20180629,64388,64490,64241,64254,260,15278
SiH9,D,20180702,64638,64988,64588,64988,17,15278
SiH9,D,20180703,65088,65146,64640,64827,1042,15278
SiH9,D,20180704,64725,64930,64725,64870,313,14718
SiH9,D,20180705,64876,64876,64688,64688,23,14722
SiH9,D,20180706,64538,64538,64488,64488,7,14736
SiH9,D,20180709,64565,64565,64150,64150,54,14698
SiH9,D,20180710,64001,64058,63550,63550,164,14684
SiH9,D,20180711,63473,63788,63210,63215,66,14680
SiH9,D,20180712,63614,63618,63435,63618,14,14680
SiH9,D,20180713,63820,63850,63687,63750,172,14682
SiH9,D,20180716,63988,64160,63688,63739,13,14684
SiH9,D,20180717,63900,63988,63880,63988,43,14658
SiH9,D,20180718,64005,64688,64005,64688,49,14676
SiH9,D,20180719,64460,65088,64460,65088,81,14706
SiH9,D,20180720,65180,65243,64787,64920,1115,16758
SiH9,D,20180723,65038,65038,64488,64638,74,16796
SiH9,D,20180724,64561,64561,64188,64309,45,16826
SiH9,D,20180725,64834,64868,64288,64438,52,16774
SiH9,D,20180726,64500,64520,64320,64320,36,16754
SiH9,D,20180727,64317,64460,64195,64195,26,16754
SiH9,D,20180730,64290,64290,63670,63776,88,16734
SiH9,D,20180731,63736,63870,63736,63804,21,16730
SiH9,D,20180801,63679,64350,63679,64350,22,16720
SiH9,D,20180802,64465,64950,64448,64768,63,16732
SiH9,D,20180803,64832,64960,64656,64656,1290,16752
SiH9,D,20180806,64888,65188,64864,65188,900,18052
SiH9,D,20180807,65180,65215,64838,64900,39,18084
SiH9,D,20180808,64980,66550,64980,66449,3799,22186
SiH9,D,20180809,66418,68217,66410,67800,2058,20126
SiH9,D,20180810,68000,69300,68000,69300,237,20392
SiH9,D,20180813,69380,70120,69176,69600,1474,20306
SiH9,D,20180814,69530,69530,67978,68125,6894,33374
SiH9,D,20180815,68052,69285,67913,69285,385,33516
SiH9,D,20180816,69114,69114,68221,68338,3931,39914
SiH9,D,20180817,68488,69200,68416,69040,1223,37900
SiH9,D,20180820,68700,68780,68570,68707,5016,47892
SiH9,D,20180821,68700,69050,68515,68930,346,48314
SiH9,D,20180822,68667,69564,68663,69256,2113,51840
SiH9,D,20180823,69463,70500,68970,69758,524,51620
SiH9,D,20180824,69758,69758,68777,68958,2755,56364
SiH9,D,20180827,68738,68920,68430,68625,391,55976
SiH9,D,20180828,68600,69090,68600,69090,17,55982
SiH9,D,20180829,69235,69746,69160,69706,441,56322
SiH9,D,20180830,69500,69770,69270,69757,80,56340
SiH9,D,20180831,69840,69840,68820,69109,531,56820
SiH9,D,20180903,69110,69570,68938,69570,330,57078
SiH9,D,20180904,69584,69950,69570,69577,1173,57018
SiH9,D,20180905,69548,70040,69520,69902,3078,57876
SiH9,D,20180906,69701,71010,69640,70867,4430,64880
SiH9,D,20180907,70838,71250,70227,70961,2006,67984
SiH9,D,20180910,71093,71963,70973,71963,941,67954
SiH9,D,20180911,71993,72093,71039,71150,657,67978
SiH9,D,20180912,71111,71231,70100,70237,3684,68366
SiH9,D,20180913,70216,70838,69354,69806,3197,70720
SiH9,D,20180914,69830,69830,68813,69208,8126,84382
SiH9,D,20180917,69350,70000,69217,69267,8478,98964
SiH9,D,20180918,69297,69327,68593,68682,6405,111238
SiH9,D,20180919,68629,68741,67950,68026,1238,111336
SiH9,D,20180920,68100,68114,67471,67650,8321,113716
SiH9,D,20180921,67566,68080,67376,67835,5087,112770
SiH9,D,20180924,67751,67836,66942,67066,3735,116248
SiH9,D,20180925,67024,67215,66719,67050,6399,116358
SiH9,D,20180926,67043,67319,66890,67150,5648,116858
SiH9,D,20180927,67129,67174,66802,66849,3938,117020
SiH9,D,20180928,66755,67096,66401,66640,5099,117056
SiH9,D,20181001,66560,66875,66477,66509,4535,117400
SiH9,D,20181002,66508,66809,66014,66510,7786,118436
SiH9,D,20181003,66417,66970,66381,66900,4388,117096
