<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiM9,D,20170817,67461,67519,67299,67299,3,58
SiM9,D,20170818,67090,67110,67090,67110,2,60
SiM9,D,20170821,,,,,,60
SiM9,D,20170822,,,,,,60
SiM9,D,20170823,,,,,,60
SiM9,D,20170824,67161,67161,67161,67161,1,62
SiM9,D,20170825,67082,67082,67051,67051,2,66
SiM9,D,20170828,66350,66350,66350,66350,1,66
SiM9,D,20170829,66387,69264,62843,67004,358,134
SiM9,D,20170830,66577,66606,66577,66606,2,132
SiM9,D,20170831,66980,66980,66111,66111,14,138
SiM9,D,20170901,66456,66456,65274,65899,5,138
SiM9,D,20170904,,,,,,138
SiM9,D,20170905,65571,65571,65571,65571,1,138
SiM9,D,20170906,65932,65932,65791,65791,6,140
SiM9,D,20170907,65164,65164,65163,65163,2,140
SiM9,D,20170908,,,,,,140
SiM9,D,20170911,,,,,,140
SiM9,D,20170912,64858,64858,64839,64839,2,136
SiM9,D,20170913,65111,65250,64800,65250,5,138
SiM9,D,20170914,65796,65796,65373,65590,3,144
SiM9,D,20170915,,,,,,144
SiM9,D,20170918,65099,65966,65099,65898,9,146
SiM9,D,20170919,66193,66193,65776,65776,10,132
SiM9,D,20170920,,,,,,132
SiM9,D,20170921,65798,66059,65099,65150,59,166
SiM9,D,20170922,64750,64750,64500,64500,7,174
SiM9,D,20170925,64200,64300,64200,64300,20,200
SiM9,D,20170926,,,,,,200
SiM9,D,20170927,,,,,,200
SiM9,D,20170928,64829,64829,64829,64829,1,202
SiM9,D,20170929,64650,64650,64650,64650,1,202
SiM9,D,20171002,,,,,,202
SiM9,D,20171003,63907,64000,63836,63859,62,318
SiM9,D,20171004,63581,63581,63251,63251,21,352
SiM9,D,20171005,,,,,,352
SiM9,D,20171006,63698,63698,63470,63470,2,352
SiM9,D,20171009,64238,64238,64238,64238,1,352
SiM9,D,20171010,,,,,,352
SiM9,D,20171011,,,,,,352
SiM9,D,20171012,63272,63272,63272,63272,1,352
SiM9,D,20171013,63174,63174,62890,62890,3,350
SiM9,D,20171016,62973,62973,62601,62727,5,356
SiM9,D,20171017,,,,,,356
