<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20171129,64500,64500,64500,64500,1,130
SiU9,D,20171130,,,,,,130
SiU9,D,20171201,,,,,,130
SiU9,D,20171204,65042,65042,65032,65032,7,130
SiU9,D,20171205,64757,64757,64750,64750,10,130
SiU9,D,20171206,,,,,,130
SiU9,D,20171207,,,,,,130
SiU9,D,20171208,,,,,,130
SiU9,D,20171211,,,,,,130
SiU9,D,20171212,64604,64604,64604,64604,4,130
SiU9,D,20171213,64410,64500,64410,64500,12,140
SiU9,D,20171214,64100,64100,64100,64100,1,142
SiU9,D,20171215,64168,64168,64168,64168,1,140
SiU9,D,20171218,64000,64000,63995,63995,3,138
SiU9,D,20171219,63940,63940,63847,63847,8,134
SiU9,D,20171220,63847,63847,63847,63847,1,132
SiU9,D,20171221,63818,63818,63818,63818,1,134
SiU9,D,20171222,63819,63819,63750,63750,8,140
SiU9,D,20171225,63557,63639,63500,63599,5,140
SiU9,D,20171226,,,,,,140
SiU9,D,20171227,63002,63002,63000,63000,13,144
SiU9,D,20171228,,,,,,144
SiU9,D,20171229,,,,,,144
SiU9,D,20180103,63000,63000,62980,62980,2,148
SiU9,D,20180104,62800,62800,62503,62503,3,148
SiU9,D,20180105,62500,62500,61574,61574,3,148
SiU9,D,20180109,,,,,,148
SiU9,D,20180110,62068,62068,62068,62068,10,148
SiU9,D,20180111,62657,62657,61997,61997,4,152
SiU9,D,20180112,,,,,,152
SiU9,D,20180115,,,,,,152
SiU9,D,20180116,,,,,,152
SiU9,D,20180117,,,,,,152
SiU9,D,20180118,,,,,,152
SiU9,D,20180119,,,,,,152
SiU9,D,20180122,,,,,,152
SiU9,D,20180123,,,,,,152
SiU9,D,20180124,61200,61200,61200,61200,1,152
SiU9,D,20180125,61000,61000,60500,60500,2,152
SiU9,D,20180126,60233,60830,60233,60770,12,148
SiU9,D,20180129,,,,,,148
SiU9,D,20180130,60800,60800,60800,60800,2,152
SiU9,D,20180131,61342,61342,61342,61342,1,154
SiU9,D,20180201,,,,,,154
SiU9,D,20180202,,,,,,154
SiU9,D,20180205,,,,,,154
SiU9,D,20180206,,,,,,154
SiU9,D,20180207,,,,,,154
SiU9,D,20180208,,,,,,154
SiU9,D,20180209,62913,62913,62913,62913,1,156
SiU9,D,20180212,,,,,,156
SiU9,D,20180213,,,,,,156
SiU9,D,20180214,,,,,,156
SiU9,D,20180215,,,,,,156
SiU9,D,20180216,,,,,,156
SiU9,D,20180219,60800,60800,60800,60800,3,162
SiU9,D,20180220,,,,,,162
SiU9,D,20180221,,,,,,162
SiU9,D,20180222,,,,,,162
SiU9,D,20180226,61050,61050,60200,60200,4,170
SiU9,D,20180227,59863,60310,59500,60299,10,170
SiU9,D,20180228,60098,60774,60098,60306,17,176
SiU9,D,20180301,60372,60782,60372,60782,4,174
SiU9,D,20180302,61199,61200,60999,61200,7,172
SiU9,D,20180305,60978,60978,60978,60978,1,170
SiU9,D,20180306,60700,60700,60700,60700,1,170
SiU9,D,20180307,,,,,,170
SiU9,D,20180309,,,,,,170
SiU9,D,20180312,,,,,,170
SiU9,D,20180313,,,,,,170
SiU9,D,20180314,60335,61122,60307,61122,7,170
SiU9,D,20180315,,,,,,170
SiU9,D,20180316,,,,,,170
SiU9,D,20180319,,,,,,170
SiU9,D,20180320,,,,,,170
SiU9,D,20180321,60914,60914,60914,60914,3,170
SiU9,D,20180322,60500,60500,60500,60500,2,170
SiU9,D,20180323,,,,,,170
SiU9,D,20180326,,,,,,170
