close_siu9,close_sih9,close_sim9,close_siz9,return_siu9,return_sih9,return_sim9,return_siz9,alpha_siu9,alpha_sih9,alpha_sim9,alpha_siz9
72900.0,59320.0,66311.0,71724.0,0.005239933811362452,-0.00801016739410354,0.014627802004437251,0.0010327983251918749,-0.12535406454243506,0.5,-0.3499384730017065,-0.024707462455858465
72800.0,59098.0,66727.0,71496.0,-0.00137174211248281,-0.003742414025623697,0.0062734689568850754,-0.003178852267023635,0.08270473424542991,0.22563669556325303,-0.5,0.19165857019131705
71435.0,59110.0,65650.0,72247.0,-0.018750000000000044,0.00020305255677000034,-0.016140392944385296,0.010504084144567605,0.2686986075205173,-0.00948211283902977,0.2313013924794827,-0.4905178871609702
71000.0,59380.0,65980.0,72650.0,-0.006089451949324531,0.004567755032989451,0.0050266565118051165,0.005578086287319817,0.5,-0.15052745709810741,-0.16565026297666044,-0.18382227992523215
70885.0,59430.0,65400.0,72722.0,-0.001619718309859186,0.0008420343550017417,-0.008790542588663186,0.0009910529938059742,0.07779431878066996,-0.22967654966071888,0.42220568121933005,-0.2703234503392811
69690.0,59591.0,64800.0,70224.0,-0.01685829159906893,0.0027090694935218984,-0.00917431192660545,-0.034349990374302086,0.13959562276336313,-0.5,0.07596818332947622,0.2844361939071607
68650.0,59680.0,65240.0,70000.0,-0.0149232314535801,0.0014935141212599756,0.006790123456790198,-0.0031897926634768536,0.411947539989387,-0.09014844669312073,-0.4098515533068793,0.08805246001061304
68450.0,59675.0,65370.0,70500.0,-0.0029133284777859147,-8.378016085786033e-05,0.001992642550582513,0.0071428571428571175,0.4860231691675061,0.01397683083249391,-0.10906040268456613,-0.3909395973154339
68660.0,60000.0,65440.0,70107.0,0.003067932797662598,0.005446166736489344,0.001070827596757029,-0.005574468085106421,-0.16003944295879355,-0.2841005811576194,-0.05585997588358707,0.5
68000.0,64890.0,65100.0,70000.0,-0.009612583745994718,0.0814999999999999,-0.005195599022004838,-0.0015262384640620796,0.29424316936087347,-0.5,0.15903835673732897,0.046718473901797584
68100.0,66350.0,64760.0,69332.0,0.0014705882352941124,0.022499614732624407,-0.005222734254992312,-0.009542857142857186,-0.030675339655286463,-0.46932466034471354,0.1768548957596431,0.3231451042403569
67912.0,64170.0,64200.0,69592.0,-0.002760646108663778,-0.03285606631499627,-0.00864731315626932,0.0037500721167715856,0.03118385723502222,0.3711373500775107,0.09767879268746708,-0.5
68100.0,64500.0,64000.0,69136.0,0.0027682883731887653,0.00514258999532502,-0.0031152647975077885,-0.006552477296240977,-0.17496719354243107,-0.32503280645756893,0.16111646169802885,0.33888353830197115
