<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiZ9,D,20181002,68970,69343,68500,69183,22,608
SiZ9,D,20181003,68836,68836,68836,68836,1,608
SiZ9,D,20181004,69500,70135,69475,70100,38,636
SiZ9,D,20181005,70300,70350,69748,69748,10,634
SiZ9,D,20181008,70294,70294,70294,70294,1,636
SiZ9,D,20181009,70100,70197,69963,69963,5,632
SiZ9,D,20181010,69550,69550,69550,69550,1,630
SiZ9,D,20181011,70374,70590,69802,69834,11,628
SiZ9,D,20181012,69042,69985,69042,69985,2,628
SiZ9,D,20181015,69000,69206,68757,68757,6,622
SiZ9,D,20181016,69168,69168,68600,68600,7,620
SiZ9,D,20181017,68951,70984,68800,69011,53,626
SiZ9,D,20181018,69147,69491,69147,69279,5,630
SiZ9,D,20181019,69300,69300,69300,69300,1,630
SiZ9,D,20181022,68642,68663,68620,68620,4,630
SiZ9,D,20181023,68921,69364,68899,68899,4,630
SiZ9,D,20181024,69346,69411,68763,68999,16,624
SiZ9,D,20181025,69073,69382,69025,69382,6,626
SiZ9,D,20181026,69122,69122,68675,68675,2,628
SiZ9,D,20181029,68821,69111,68821,69111,2,628
SiZ9,D,20181030,69401,69401,69058,69100,11,628
SiZ9,D,20181031,69124,69124,69124,69124,1,630
SiZ9,D,20181101,,,,,,630
SiZ9,D,20181102,69139,69139,68910,68914,6,622
SiZ9,D,20181106,69400,69400,69300,69300,5,622
SiZ9,D,20181107,69300,69648,69300,69632,4,624
SiZ9,D,20181108,69783,69783,69783,69783,2,624
SiZ9,D,20181109,69871,70987,69835,70987,5,620
SiZ9,D,20181112,70950,71500,70232,70996,81,626
SiZ9,D,20181113,71101,71500,71101,71500,29,666
SiZ9,D,20181114,71827,72083,70668,71064,12,678
SiZ9,D,20181115,71126,71126,70040,70040,33,692
SiZ9,D,20181116,70000,70000,68876,69548,106,642
SiZ9,D,20181119,69600,69700,69493,69627,13,646
SiZ9,D,20181120,69389,69773,69035,69773,21,642
SiZ9,D,20181121,69879,69879,69879,69879,1,644
SiZ9,D,20181122,69768,70080,69150,69168,11,640
SiZ9,D,20181123,69072,69856,68879,69816,39,624
SiZ9,D,20181126,69899,70756,69899,70756,34,650
SiZ9,D,20181127,69499,71188,68850,70887,44,648
SiZ9,D,20181128,70983,71317,67874,70512,639,1456
SiZ9,D,20181129,69043,70560,68284,69160,46,1438
SiZ9,D,20181130,69300,69730,69014,69720,66,1518
SiZ9,D,20181203,69850,70064,69215,69215,27,1558
SiZ9,D,20181204,69267,69267,69267,69267,1,1560
SiZ9,D,20181205,69000,69790,69000,69780,7,1562
SiZ9,D,20181206,69725,70000,69714,69848,13,1574
SiZ9,D,20181207,69763,69763,68936,69030,9,1566
SiZ9,D,20181210,69314,69681,69263,69400,62,1572
SiZ9,D,20181211,69463,69687,69300,69535,131,1578
SiZ9,D,20181212,69941,69941,69400,69400,50,1568
SiZ9,D,20181213,69481,69598,69290,69508,18,1568
SiZ9,D,20181214,69500,69999,69420,69950,57,1574
SiZ9,D,20181217,70000,70000,69605,69807,23,1570
SiZ9,D,20181218,70000,70314,69993,70140,532,2572
SiZ9,D,20181219,70220,71089,70220,70881,577,1650
SiZ9,D,20181220,70660,71650,70271,71650,91,1636
SiZ9,D,20181221,71500,71876,71200,71724,25105,51524
SiZ9,D,20181224,71880,72319,71450,71496,15101,81588
SiZ9,D,20181225,71751,72309,71441,72247,939,83140
SiZ9,D,20181226,72231,72854,71985,72650,95,83214
SiZ9,D,20181227,72410,72850,72106,72722,72,83210
SiZ9,D,20181228,72956,73100,72630,73100,42,83178
SiZ9,D,20181229,72843,73229,72700,73229,1165,85438
SiZ9,D,20190103,72990,73339,72125,72125,119,85602
SiZ9,D,20190104,72000,72000,71110,71110,36,85586
SiZ9,D,20190108,71008,71250,70177,70224,85,85534
SiZ9,D,20190109,70165,70352,70000,70000,142,85514
SiZ9,D,20190110,70000,70500,69850,70500,20,85504
SiZ9,D,20190111,70350,70350,69963,70107,36,85470
SiZ9,D,20190114,70390,70410,70100,70100,14,85468
SiZ9,D,20190115,70190,70190,69980,70000,14,85460
SiZ9,D,20190116,69900,69900,69332,69332,27,85458
SiZ9,D,20190117,69248,69592,69248,69592,13,85456
SiZ9,D,20190118,69376,69383,69136,69136,18186,65524
SiZ9,D,20190121,69450,69450,69378,69378,2,65524
SiZ9,D,20190122,69374,69573,69374,69489,45,65604
SiZ9,D,20190123,69300,69300,69100,69249,21,65634
SiZ9,D,20190124,69064,69101,68800,68800,25019,65634
SiZ9,D,20190125,68840,69170,68720,69170,23,65656
SiZ9,D,20190128,68960,69164,68890,69164,21,65694
SiZ9,D,20190129,69140,69380,69050,69050,685,66678
SiZ9,D,20190130,69000,69046,68900,68930,81,66740
SiZ9,D,20190131,68850,68921,68040,68175,165,66872
SiZ9,D,20190201,68488,68538,68200,68538,29,66870
SiZ9,D,20190204,68388,68538,68388,68413,7,66860
SiZ9,D,20190205,68439,68440,68245,68359,12,66864
SiZ9,D,20190206,68521,68670,68495,68670,19,66866
SiZ9,D,20190207,68710,68888,68688,68738,19,66848
SiZ9,D,20190208,68888,68888,68438,68438,32,66856
SiZ9,D,20190211,68538,68538,68332,68538,16,66866
SiZ9,D,20190212,68500,68500,68213,68213,10,66868
SiZ9,D,20190213,68538,68838,68156,68427,1162,66918
SiZ9,D,20190214,68538,69900,68538,69900,511,66804
SiZ9,D,20190215,69947,69960,69351,69451,100,66882
SiZ9,D,20190218,69328,69328,68888,68978,74,66874
SiZ9,D,20190219,68978,69000,68811,68811,19,66862
SiZ9,D,20190220,68723,68723,68295,68295,98,66904
SiZ9,D,20190221,68200,68226,68070,68110,65,66974
SiZ9,D,20190222,68088,68278,68000,68028,51,66956
SiZ9,D,20190225,67978,68080,67661,68000,355,66438
SiZ9,D,20190226,68120,68300,68120,68300,26,66452
SiZ9,D,20190227,68240,68465,68203,68465,65,66356
SiZ9,D,20190228,68328,68428,68328,68428,17,66358
SiZ9,D,20190301,68352,68352,68090,68090,301,65938
SiZ9,D,20190304,68478,68530,68178,68178,27,65934
SiZ9,D,20190305,68130,68130,68130,68130,1,65936
SiZ9,D,20190306,68327,68500,68327,68500,18,65960
SiZ9,D,20190307,68450,68528,68300,68528,91,65960
SiZ9,D,20190311,68678,68678,68500,68521,30,65994
SiZ9,D,20190312,68428,68428,68193,68211,259,66488
SiZ9,D,20190313,68070,68139,67755,67800,88,66572
SiZ9,D,20190314,67776,68005,67755,68005,34,66616
SiZ9,D,20190315,67986,68000,67650,67670,161,66910
SiZ9,D,20190318,67488,67488,66520,66837,2588,70656
SiZ9,D,20190319,66759,66940,66513,66940,1497,73562
SiZ9,D,20190320,66760,66760,66604,66605,260,73878
SiZ9,D,20190321,66475,66475,66000,66137,1159,75980
SiZ9,D,20190322,66220,67120,66010,66993,748,77426
SiZ9,D,20190325,66959,67073,66365,66365,321,77560
SiZ9,D,20190326,66328,66700,66229,66583,208,77694
SiZ9,D,20190327,66690,67205,66690,67205,73,77734
SiZ9,D,20190328,67240,67589,67000,67426,3486,84200
SiZ9,D,20190329,67306,68000,66750,68000,2673,89166
SiZ9,D,20190401,68010,68102,67605,67690,828,88952
SiZ9,D,20190402,67785,67867,67478,67800,338,89462
SiZ9,D,20190403,67750,67750,67328,67578,129,89626
SiZ9,D,20190404,67483,67857,67483,67728,92,89630
SiZ9,D,20190405,67735,67735,67470,67500,43,89672
SiZ9,D,20190408,67628,67649,67228,67228,38,89702
SiZ9,D,20190409,67177,67190,66883,67155,344,90244
SiZ9,D,20190410,67096,67180,66577,66577,88,90356
SiZ9,D,20190411,66479,66740,66479,66740,37,90382
SiZ9,D,20190412,66878,66878,66329,66540,154,90648
SiZ9,D,20190415,66550,66550,66355,66496,42,90656
SiZ9,D,20190416,66402,66613,66400,66400,279,91176
SiZ9,D,20190417,66317,66317,66038,66094,483,91908
SiZ9,D,20190418,66085,66270,65960,66115,37,91958
SiZ9,D,20190419,66112,66164,66037,66164,31468,91986
SiZ9,D,20190422,66182,66182,65801,65910,316,92200
SiZ9,D,20190423,65939,65942,65750,65840,118,92314
SiZ9,D,20190424,65764,66370,65680,66300,1204,94638
